Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HFKC;AFKC;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
B1;28.10.2018;Standard de Liège;KRC Genk;1;1;D;0;0;D;11;12;6;6;16;19;5;4;2;2;0;0;3;Mar.25;Þub.37;3;3.Haz;2.Mar;2.Aðu;3.May;Þub.25;Þub.88;Mar.72;Þub.37;Þub.75;3.Haz;Þub.35;2.Aðu;3.Tem;2.Mar;35;3;Þub.86;Mar.72;Mar.53;2.Nis;Þub.32;31;Oca.67;Oca.63;Þub.32;Þub.21;17;0.25;Oca.85;1.Aðu;2.Aðu;2.Mar;Mar.21;Mar.91;Þub.15
B1;28.10.2018;Waasland-Beveren;Royal Antwerp FC;0;1;A;0;0;D;15;13;6;6;19;7;5;8;2;1;0;0;Nis.75;Mar.75;Oca.72;Nis.33;3.Aðu;1.Aðu;Nis.35;Mar.65;Oca.73;Nis.36;Mar.95;Oca.79;4.Þub;3.Aðu;Oca.75;4.Haz;3.Haz;Oca.75;33;Nis.75;Nis.36;Mar.95;Mar.74;Oca.81;Oca.77;31;2.Mar;Oca.95;1.Eyl;Oca.82;15;0.75;Oca.85;Oca.82;2.Tem;2.Oca;Nis.67;3.Eyl;Oca.77
B1;30.10.2018;Sporting de Charleroi;Sint-Truidense VV;1;0;H;0;0;D;14;9;8;4;7;16;6;2;1;2;0;0;1.Eyl;3.Haz;Mar.75;Oca.91;3.Tem;3.Eyl;Oca.87;Mar.55;3.Aðu;Oca.94;Mar.81;Mar.92;Oca.88;3.Tem;3.Tem;Oca.91;3.Haz;3.Eyl;37;2;Oca.92;Mar.81;Mar.64;4.May;3.Aðu;35;1.Eyl;Oca.82;2.Nis;Oca.97;18;-0.75;Þub.26;Þub.19;Oca.75;Oca.69;2.Þub;3.May;Mar.94
B1;30.10.2018;Club Brugge KV;KV Oostende;4;0;H;3;0;H;15;11;9;6;9;21;8;2;1;4;0;0;Oca.36;May.25;7;Oca.36;5.May;Tem.75;Oca.37;Nis.95;6.Haz;Oca.34;May.48;Aðu.79;Oca.36;May.25;7;Oca.36;5.Þub;7.May;37;Oca.42;Oca.35;May.75;May.21;8.Eyl;Tem.66;36;Oca.45;Oca.42;2.Eyl;Þub.74;19;-1.75;Þub.35;Þub.26;1.Tem;Oca.64;Oca.29;May.84;Eki.33
B1;30.10.2018;Royal Excel Mouscron;KAA Gent;3;1;H;2;0;H;17;18;9;7;25;9;6;4;2;0;0;0;5.May;4.Þub;Oca.55;May.25;4.Oca;Oca.62;5.Oca;4.Oca;Oca.57;May.33;Nis.36;Oca.61;5;Nis.33;Oca.57;5.Nis;4.Þub;Oca.57;37;5.May;May.22;Nis.45;Nis.16;Oca.65;Oca.59;33;1.Tem;Oca.64;2.Mar;Þub.21;21;1;1.Eyl;Oca.84;2.Oca;Oca.98;May.51;Nis.35;1.Haz
B1;31.10.2018;Royal Antwerp FC;KRC Genk;2;4;A;2;0;H;12;18;8;12;15;12;5;6;3;3;0;0;3.Mar;3.May;2.Oca;3.May;3.Haz;2.May;3.Mar;3.Haz;2;Mar.44;Mar.72;2.Eyl;3.Mar;3.Haz;2.May;3.Mar;3.Tem;2.May;35;Mar.55;Mar.33;Mar.85;Mar.63;Þub.13;2.Haz;33;1.Tem;Oca.63;2.Mar;Þub.22;17;0.25;Þub.13;2.Nis;Oca.86;Oca.79;Mar.41;Mar.63;Þub.16
B1;31.10.2018;KAS Eupen;KSV Cercle Brugge;2;0;H;0;0;D;12;6;6;5;17;19;7;5;2;3;0;0;2.Nis;3.May;3.Nis;2.May;3.May;3.Haz;2;Mar.45;Mar.45;2.Tem;Mar.61;3.Haz;2.May;3.Haz;3.Mar;2.May;3.Haz;3.Nis;36;2.Oca;2.Nis;3.Tem;Mar.52;3.Tem;Mar.46;34;Oca.85;Oca.81;2.May;Oca.97;18;-0.25;Oca.83;Oca.77;Þub.14;2.Haz;2.Oca;Mar.51;Mar.68
B1;31.10.2018;KV Kortrijk;Waasland-Beveren;2;2;D;2;0;H;16;9;10;5;15;11;9;5;2;2;0;0;1.May;4.May;6;1.May;Nis.33;6.May;Oca.47;Nis.25;6;Oca.49;4.May;6.May;Oca.47;4.Nis;6;Oca.45;4.Nis;6.May;34;Oca.55;Oca.49;Nis.65;Nis.35;6.May;6.Þub;32;Oca.75;Oca.68;Þub.21;Þub.13;20;-1;Oca.85;1.Aðu;2.Oca;2.Mar;Oca.61;4.Oca;6
B1;1.11.2018;RSC Anderlecht;Sporting Lokeren;1;1;D;0;0;D;11;5;4;3;15;19;5;4;0;1;0;0;Oca.25;5.May;12;Oca.25;Haz.25;11.May;Oca.25;5.Tem;9.May;Oca.23;Haz.21;Ara.31;Oca.27;5.Aðu;9.May;Oca.25;6;10.May;35;1.Mar;Oca.25;6.May;6.Oca;Ara.31;Eki.71;32;Oca.45;Oca.43;Þub.88;2.Tem;17;-1.5;Oca.81;Oca.72;Þub.25;Þub.13;Oca.25;Haz.24;12.Aðu
B1;1.11.2018;SV Zulte-Waregem;Standard de Liège;3;1;H;1;1;D;12;6;10;5;12;16;6;8;2;2;1;0;3.May;Mar.75;Oca.95;Mar.75;3.Eyl;1.Eyl;3.May;Mar.75;1.Eyl;Mar.68;Mar.92;Oca.95;3.Nis;3.Eyl;Oca.91;3.May;3.Eyl;Oca.93;35;Mar.75;Mar.54;4.May;Mar.85;2;Oca.92;33;Oca.55;1.May;Þub.65;Þub.49;17;0.25;Þub.22;Þub.16;Oca.75;Oca.69;3.Ara;Mar.46;Þub.37
B1;2.11.2018;KV Oostende;Sporting de Charleroi;2;1;H;1;0;H;8;12;4;3;21;14;3;6;3;1;0;0;3.Oca;3.Mar;2.Mar;Þub.75;3.Nis;Þub.55;Þub.85;Mar.25;2.Nis;Þub.98;Mar.36;Þub.52;Þub.88;Mar.25;2.Nis;2.Eyl;3.Mar;Þub.45;37;3.Oca;Þub.86;3.Nis;Mar.29;Þub.65;Þub.45;35;2;Oca.92;Oca.93;Oca.86;18;0.25;Oca.81;Oca.76;Þub.15;2.Eyl;Þub.92;Mar.42;Þub.53
B1;3.11.2018;KSV Cercle Brugge;Royal Excel Mouscron;2;1;H;0;1;A;12;3;8;1;20;11;9;3;2;2;0;1;Þub.25;3.Mar;3.Þub;2.Þub;3.May;3.Þub;2.Þub;Mar.45;3;Þub.27;Mar.68;3.Tem;2.Þub;3.Haz;3;2.Þub;3.May;Mar.13;36;2.Mar;Þub.22;3.Tem;Mar.51;3.Mar;3.Haz;33;Oca.84;Oca.77;2.Ara;2.Þub;18;-0.25;Oca.99;Oca.93;Oca.96;Oca.89;Þub.45;Mar.35;3.Aðu
B1;3.11.2018;KRC Genk;Club Brugge KV;1;1;D;1;0;H;6;12;3;4;9;20;4;3;0;2;0;0;1.Eyl;3.Haz;Mar.75;Oca.91;3.Aðu;Mar.75;Oca.87;3.Tem;3.Haz;Oca.92;4.Oca;Mar.71;Oca.88;3.Eyl;3.Haz;1.Eyl;3.Aðu;3.Tem;37;2;Oca.91;4.Oca;Mar.78;3.Aðu;Mar.62;33;Oca.65;1.Haz;2.Nis;Þub.28;17;-0.25;Oca.76;Oca.69;Þub.26;Þub.18;Oca.65;Nis.78;Nis.49
B1;3.11.2018;KAA Gent;KV Kortrijk;3;1;H;0;1;A;9;7;5;4;21;20;5;4;1;4;0;0;Oca.61;4;5;Oca.65;3.Eyl;May.25;Oca.65;3.Aðu;4.Tem;Oca.68;Mar.91;May.24;Oca.65;4;Nis.75;Oca.65;4;5;37;1.Tem;Oca.65;4.Þub;3.Eyl;May.25;Nis.92;35;Oca.75;Oca.69;2.Þub;2.Ara;20;-1;Þub.25;Þub.16;Oca.75;1.Tem;Oca.67;4.Kas;May.14
B1;4.11.2018;Sporting Lokeren;KAS Eupen;2;0;H;2;0;H;9;9;6;4;16;12;2;9;0;0;0;0;Þub.45;3.Mar;2.Aðu;Þub.45;3.Nis;Þub.85;2.Nis;3.Nis;2.Tem;Þub.52;3.Haz;Þub.75;Þub.45;3.May;Þub.62;2.May;3.May;2.Tem;36;Þub.55;Þub.46;3.Haz;Mar.44;Þub.85;Þub.72;34;Oca.88;Oca.77;2.Oca;2.Oca;18;-0.25;Þub.23;Þub.13;Oca.77;Oca.71;Þub.62;Mar.65;Þub.67
B1;4.11.2018;Sint-Truidense VV;SV Zulte-Waregem;2;1;H;0;1;A;12;6;6;3;11;19;1;6;3;2;0;1;2;3.May;3.Haz;2;3.Haz;3.Tem;2.May;Mar.45;Mar.35;2.Ara;Mar.41;Mar.68;2.May;3.May;3.Nis;2.Oca;3.May;3.Nis;36;Þub.15;2.Haz;Mar.65;Mar.48;Mar.77;Mar.47;33;1.Tem;Oca.62;Þub.35;Þub.23;17;-0.5;2.Kas;2.Haz;Oca.84;Oca.78;Þub.23;Mar.57;Mar.29
B1;4.11.2018;Standard de Liège;Royal Antwerp FC;0;2;A;0;1;A;8;5;2;2;12;19;2;2;2;5;0;0;Oca.95;3.May;Mar.75;2.May;3.Haz;3.May;2;Mar.45;Mar.45;2.Haz;Mar.65;Mar.57;2;3.Haz;3.Nis;2;3.May;3.Haz;35;2.Haz;2.Oca;3.Tem;Mar.56;Mar.75;Mar.52;33;1.Eyl;Oca.81;2.Tem;Oca.97;17;-0.25;1.Aðu;Oca.75;Þub.17;2.Eyl;2.Eyl;Mar.34;Mar.94
B1;4.11.2018;Waasland-Beveren;RSC Anderlecht;1;2;A;0;1;A;6;7;4;4;23;26;3;2;7;4;1;1;5.May;3.Aðu;Oca.61;5;4.Oca;Oca.65;Nis.65;Mar.85;Oca.65;Nis.94;Mar.94;1.Tem;4.May;4;Oca.67;5;3.Aðu;Oca.67;35;5.May;Nis.81;4.Þub;Mar.93;Oca.72;Oca.66;32;1.Tem;Oca.65;2.Mar;Þub.19;19;1;Oca.79;Oca.72;Þub.23;Þub.13;Haz.85;4.Mar;Oca.55
B1;9.11.2018;Royal Antwerp FC;KV Oostende;2;0;H;1;0;H;19;7;9;5;20;13;9;4;3;2;0;1;Oca.44;4.May;6.May;Oca.48;4.Haz;Haz.75;Oca.45;4.Mar;6.Mar;Oca.48;Nis.66;Haz.77;Oca.44;4.May;6.May;Oca.44;4.Nis;7;34;Oca.55;Oca.47;Nis.66;Nis.41;7;Haz.37;32;Oca.85;Oca.73;Þub.14;2.Haz;18;-1;Oca.85;Oca.77;Þub.13;2.Haz;Oca.52;Nis.38;Haz.59
B1;10.11.2018;KSV Cercle Brugge;Waasland-Beveren;2;0;H;1;0;H;8;5;4;1;15;19;6;3;0;2;0;0;Oca.85;3.Haz;4;Oca.95;3.Haz;4;1.Eyl;3.May;Mar.75;Oca.96;Mar.65;Mar.91;Oca.95;3.Haz;3.Haz;Oca.93;3.Haz;3.Aðu;36;Oca.97;Oca.92;3.Tem;Mar.58;4.Þub;Mar.79;34;Oca.85;Oca.78;2.Oca;2;18;-0.5;Oca.99;Oca.93;Oca.95;1.Eyl;Oca.79;4.Nis;Nis.39
B1;10.11.2018;Sporting de Charleroi;Club Brugge KV;2;1;H;1;1;D;7;5;6;4;15;17;4;5;1;1;0;0;3.Haz;3.Haz;Oca.95;3.Haz;3.Haz;2.May;Mar.45;3.May;Oca.97;Mar.58;3.Aðu;2.Oca;3.Mar;3.Tem;2;3.May;3.Haz;2;37;3.Tem;Mar.51;3.Aðu;Mar.59;2.Haz;2;36;Oca.76;1.Tem;Þub.21;2.Kas;19;0.25;Þub.17;2.Oca;Oca.78;Oca.74;Mar.66;Mar.68;2.May
B1;10.11.2018;KAS Eupen;Sint-Truidense VV;1;4;A;0;2;A;7;6;2;6;20;18;5;3;3;2;0;0;Þub.37;3.Haz;2.Tem;Þub.45;3.Nis;Þub.95;Þub.35;Mar.45;Þub.75;Þub.42;Mar.59;2.Eyl;Þub.38;3.May;Þub.75;2.Nis;3.May;2.Aðu;37;Þub.45;Þub.38;Mar.65;Mar.46;Þub.95;Þub.82;36;Oca.81;Oca.75;Þub.15;2.May;19;-0.25;Þub.14;2.Tem;Oca.81;Oca.76;Þub.42;Mar.47;3.Mar
B1;10.11.2018;SV Zulte-Waregem;Sporting Lokeren;2;0;H;0;0;D;8;1;4;0;14;18;4;7;2;6;0;0;1.Haz;Nis.33;Nis.75;Oca.65;4.Oca;May.25;Oca.63;4.May;4.Haz;Oca.66;Nis.16;Nis.94;Oca.65;4;4.Haz;Oca.65;4.Þub;Nis.75;37;Oca.72;Oca.65;Nis.33;4.May;May.25;Nis.79;33;1.Haz;Oca.54;Þub.55;2.Nis;21;-1;Þub.14;2.Aðu;Oca.81;Oca.75;Oca.69;Nis.19;Nis.81
B1;11.11.2018;RSC Anderlecht;KAA Gent;2;0;H;1;0;H;19;15;11;5;20;18;7;4;1;2;0;2;2;3.Haz;3.May;2.May;3.Tem;3.May;Oca.97;Mar.55;3.Nis;2.Tem;3.Tem;3.May;2.May;3.Haz;3.Mar;2.May;3.Tem;3.Mar;35;Þub.13;2.Mar;3.Aðu;Mar.61;3.Haz;Mar.39;32;Oca.75;Oca.68;Þub.25;Þub.13;18;-0.25;Oca.83;Oca.78;2.Oca;2.May;Þub.55;Mar.53;Þub.81
B1;11.11.2018;KV Kortrijk;Standard de Liège;0;2;A;0;1;A;12;9;4;7;12;14;5;2;3;4;0;0;2.Haz;3.Haz;2.May;Þub.75;3.Haz;2.May;2.Haz;Mar.55;2.Nis;2.Tem;3.Aðu;Þub.47;Þub.55;3.Haz;2.May;Þub.63;3.Haz;2.May;35;Þub.76;Þub.64;3.Aðu;Mar.56;Þub.63;Þub.46;32;1.Tem;Oca.63;Þub.35;Þub.22;18;0.25;Oca.75;1.Tem;Þub.25;Þub.15;Þub.49;Mar.81;Þub.73
B1;11.11.2018;Royal Excel Mouscron;KRC Genk;0;0;D;0;0;D;11;15;3;8;20;20;5;2;3;4;0;0;7.May;5.May;Oca.33;8;5.May;Oca.36;7;Nis.75;Oca.37;Tem.92;Nis.89;Oca.39;7;5;Oca.38;8;5;Oca.36;36;8.Þub;Tem.44;5.May;Nis.91;Oca.42;Oca.37;33;1.Haz;Oca.56;Þub.55;Þub.38;18;1.May;1.Aðu;Oca.77;Þub.16;2.Tem;Eyl.79;Haz.53;Oca.27
B1;23.11.2018;Club Brugge KV;SV Zulte-Waregem;1;3;A;0;2;A;9;7;3;3;16;19;5;2;0;1;0;0;Oca.36;5.May;7;1.Nis;5.May;Haz.75;Oca.37;5.Oca;6.May;Oca.36;May.61;Tem.59;Oca.33;May.25;7.May;Oca.36;5.Nis;7;38;Oca.41;Oca.36;May.65;May.29;7.Eyl;7.Aðu;31;1.Nis;Oca.35;3.Mar;3.Eyl;21;-1.5;2.Þub;Oca.96;Oca.91;Oca.86;Oca.37;May.14;Aðu.51
B1;24.11.2018;KRC Genk;KSV Cercle Brugge;1;2;A;0;2;A;14;3;5;2;10;20;12;4;0;5;0;1;Oca.16;7;15;1.Þub;7.May;14;Oca.18;6.Aðu;12;Oca.19;Tem.22;Ara.73;Oca.17;7;15;Oca.17;7.May;15;36;Oca.21;Oca.18;8;Tem.19;15;13.26;30;Oca.37;Oca.35;Mar.25;3.Nis;22;-2;1.Eyl;Oca.84;2.May;Oca.98;Oca.18;Tem.93;14.Mar
B1;24.11.2018;KV Oostende;KV Kortrijk;1;2;A;1;1;D;11;10;6;6;9;13;2;11;1;1;0;0;3.Oca;3.Nis;Þub.25;3.Þub;3.May;Þub.25;Þub.95;Mar.45;2.Þub;3.Eyl;Mar.71;Þub.25;3;3.May;2.Þub;3;3.May;Þub.25;37;3.Þub;3.Oca;Mar.75;Mar.51;Þub.38;Þub.25;36;Oca.79;Oca.74;Þub.13;2.May;20;0.25;Oca.93;Oca.86;2.Eyl;Oca.96;Þub.52;Mar.68;Þub.75
B1;24.11.2018;Standard de Liège;KAS Eupen;3;0;H;2;0;H;11;2;6;1;16;22;5;4;2;2;0;0;1.Nis;5;6.May;Oca.45;Nis.75;7;Oca.45;Nis.45;6.Þub;Oca.46;Nis.51;7.Þub;Oca.42;4.May;7;Oca.44;Nis.75;6.May;37;Oca.49;Oca.44;5;Nis.59;7.Þub;Haz.57;33;1.Haz;Oca.56;Þub.45;Þub.35;22;-1;Oca.76;Oca.71;Þub.21;Þub.15;Oca.63;Mar.83;6.Tem
B1;24.11.2018;Waasland-Beveren;Royal Excel Mouscron;1;2;A;0;1;A;12;13;5;7;20;16;3;7;2;4;0;0;Þub.62;3.Nis;Þub.54;2.Aðu;3.Nis;Þub.55;2.Tem;3.Mar;Þub.45;Þub.84;Mar.48;Þub.52;Þub.75;3.Nis;Þub.45;2.Tem;3.Nis;Þub.55;36;Þub.84;Þub.71;Mar.48;Mar.39;Þub.63;Þub.52;34;Oca.89;Oca.83;2.Þub;Oca.95;20;0;2.Haz;Oca.98;Oca.92;Oca.84;Þub.47;Mar.53;Þub.92
B1;25.11.2018;KAA Gent;Royal Antwerp FC;0;0;D;0;0;D;9;5;2;1;16;16;2;2;1;5;0;0;2;3.May;3.Haz;2.May;3.Haz;3.Haz;Oca.95;Mar.45;3.Haz;2.Nis;Mar.61;Mar.69;2;3.Nis;3.Haz;2;3.May;3.Haz;36;2.Aðu;Oca.99;Mar.61;Mar.49;Mar.75;Mar.61;33;Oca.95;Oca.85;2;Oca.93;18;-0.25;Oca.77;Oca.74;2.Þub;2.Ara;2.Haz;3.Haz;Mar.71
B1;25.11.2018;Sporting Lokeren;Sporting de Charleroi;2;4;A;1;1;D;12;14;7;10;13;12;0;6;0;1;0;0;3.May;3.Haz;2;3.Tem;3.May;2.May;Mar.45;3.Nis;2;Mar.59;Mar.62;2.Tem;3.Nis;3.May;2.May;3.May;3.May;2.May;38;3.Tem;Mar.45;Mar.62;Mar.47;Þub.17;2.May;35;Oca.97;Oca.88;Oca.94;Oca.89;20;0.25;2.Kas;2.Nis;Oca.85;Oca.79;Mar.89;Mar.85;Oca.93
B1;25.11.2018;Sint-Truidense VV;RSC Anderlecht;4;2;H;1;1;D;10;8;6;4;15;12;3;2;3;3;0;0;3.Mar;3.Haz;2.Nis;3.Mar;3.Tem;Þub.15;Mar.15;3.May;2.Oca;Mar.26;Mar.68;Þub.18;3.Oca;3.May;Þub.15;Mar.25;3.Haz;2.Oca;38;3.Mar;Mar.16;3.Tem;Mar.53;Þub.24;Þub.13;36;Oca.82;Oca.73;Þub.14;2.Tem;20;0.25;2.May;Oca.98;1.Eyl;Oca.85;Þub.49;Mar.36;3.Oca
B1;30.11.2018;Sporting Lokeren;KAA Gent;2;2;D;1;0;H;11;14;5;8;13;16;3;10;1;2;0;0;6.May;4;1.May;6;4.May;1.May;5.May;4.Mar;1.May;May.65;Nis.59;Oca.55;5.Aðu;Nis.33;1.May;6;4.Nis;1.May;38;6.May;May.62;Nis.59;Nis.34;Oca.58;Oca.52;34;Oca.68;Oca.63;Þub.31;Þub.23;23;1;2.May;Oca.95;Oca.92;Oca.86;Haz.16;5.Þub;Oca.47
B1;1.12.2018;Royal Antwerp FC;Sint-Truidense VV;1;3;A;1;2;A;9;10;4;4;16;13;9;7;2;4;0;0;Oca.66;3.Haz;May.25;1.Tem;Mar.75;5.May;1.Tem;Mar.55;4.Aðu;Oca.75;Mar.52;5.Nis;Oca.67;3.Haz;May.25;1.Tem;3.Aðu;4.Aðu;37;Oca.75;Oca.71;3.Aðu;Mar.59;5.May;Nis.95;34;Oca.98;1.Eyl;Oca.96;Oca.88;20;-1;Þub.39;Þub.28;1.Tem;Oca.63;Oca.83;Mar.48;Nis.99
B1;1.12.2018;Sporting de Charleroi;KSV Cercle Brugge;3;1;H;1;0;H;15;4;7;1;19;16;2;3;2;3;0;0;Oca.57;4;5.May;Oca.62;4.Oca;5.May;Oca.57;4.May;5.Þub;1.Haz;Nis.16;May.53;Oca.57;4;5.May;Oca.57;4.Oca;5.May;38;Oca.63;Oca.59;Nis.25;4.Haz;May.63;May.26;36;Oca.77;Oca.71;Þub.19;2.Oca;23;-1;2.Tem;2.Oca;Oca.87;Oca.81;Oca.66;Mar.85;May.76
B1;1.12.2018;KV Kortrijk;Royal Excel Mouscron;1;0;H;1;0;H;5;8;3;5;20;14;2;4;3;2;0;0;Oca.72;Mar.75;4.May;Oca.78;3.Eyl;4.May;Oca.75;Mar.75;4.Oca;Oca.79;Mar.94;Nis.37;Oca.73;3.Aðu;Nis.33;Oca.73;4;Nis.33;38;Oca.83;Oca.76;4;Mar.83;4.May;Nis.22;33;Oca.65;Oca.58;Þub.47;2.Mar;20;-0.75;2.May;Oca.97;Oca.93;Oca.86;Oca.74;Mar.95;Nis.83
B1;1.12.2018;SV Zulte-Waregem;KV Oostende;1;1;D;1;0;H;7;8;2;4;13;21;6;4;2;2;0;0;Oca.72;Mar.75;4.May;Oca.75;Nis.25;Nis.25;1.Tem;4;4.May;Oca.78;Nis.23;4.Oca;Oca.73;4;4.Þub;Oca.75;4;4.Þub;37;Oca.78;Oca.75;Nis.33;4.May;4.May;4.Oca;32;Oca.55;Oca.51;2.Haz;Þub.47;19;-0.75;2;Oca.95;Oca.95;Oca.88;Oca.74;Nis.38;Nis.29
B1;2.12.2018;RSC Anderlecht;KRC Genk;0;1;A;0;0;D;10;6;4;2;21;24;3;1;4;2;0;0;3.Oca;3.May;2.Þub;3.Oca;Mar.75;2.Þub;Mar.15;Mar.55;2.Oca;Mar.33;Mar.65;Þub.16;3.Þub;3.Haz;2.Oca;Mar.25;Mar.75;2.May;38;Mar.33;Mar.13;3.Aðu;Mar.58;Þub.23;Þub.13;33;Oca.65;Oca.62;2.Mar;Þub.24;20;0.25;2.Haz;Oca.98;1.Eyl;Oca.84;Mar.45;Mar.77;2.Oca
B1;2.12.2018;Club Brugge KV;Standard de Liège;3;0;H;3;0;H;11;3;8;1;15;21;5;5;2;4;0;1;Oca.66;3.Aðu;5;Oca.72;4;Nis.75;1.Tem;3.Eyl;Nis.25;Oca.75;4.Haz;Nis.45;1.Tem;3.Eyl;4.Nis;1.Tem;4;4.May;38;Oca.76;Oca.71;4.Þub;Mar.95;5;Nis.38;33;Oca.62;Oca.58;2.Nis;2.Mar;20;-0.75;Oca.96;Oca.91;Oca.96;Oca.91;Oca.76;Mar.81;Nis.85
B1;2.12.2018;KAS Eupen;Waasland-Beveren;1;0;H;1;0;H;16;8;6;6;14;20;8;5;2;3;0;0;Oca.61;4.Þub;Nis.75;Oca.65;4.Oca;May.25;Oca.57;4;5.Oca;Oca.62;4.Oca;May.41;1.Haz;3.Eyl;May.25;1.Haz;4.Oca;May.25;37;Oca.66;Oca.61;4.Þub;4.Mar;5.May;May.14;32;Oca.75;Oca.69;2.Þub;2.Kas;22;-1;2.Kas;2.Nis;1.Eyl;Oca.78;Oca.75;Mar.77;5.Haz
B1;7.12.2018;Waasland-Beveren;Club Brugge KV;2;1;H;0;0;D;9;10;4;6;14;14;7;4;2;4;0;1;7;5;Oca.36;7.May;5;Oca.42;6.Haz;4.Aðu;1.Nis;7;May.16;Oca.42;8;4.Aðu;Oca.36;8;5;Oca.36;37;8;7.Eyl;May.16;Nis.88;Oca.43;Oca.39;30;Oca.66;Oca.55;2.May;Þub.39;22;1.May;1.Aðu;Oca.75;Þub.16;2.Eyl;Tem.13;Nis.94;Oca.43
B1;8.12.2018;KRC Genk;KV Kortrijk;1;1;D;1;1;D;19;8;6;4;8;20;4;2;2;5;0;0;1.Þub;7;11;Oca.26;6.May;10.May;Oca.25;5.Aðu;9.Oca;Oca.25;Haz.15;Eki.82;Oca.24;5.Aðu;11;Oca.25;Haz.25;10;37;1.Mar;Oca.25;7;6.Aðu;11;10.Þub;31;1.Nis;Oca.36;3.Þub;3.Oca;22;-1.5;Oca.77;Oca.72;Þub.25;Þub.14;Oca.29;May.87;Eki.24
B1;8.12.2018;Royal Excel Mouscron;SV Zulte-Waregem;0;0;D;0;0;D;1;9;0;4;22;17;5;5;2;1;1;0;2.Tem;3.Nis;2.May;Þub.65;3.Haz;2.Haz;2.May;3.May;Þub.55;2.Haz;Mar.73;2.Haz;Þub.55;3.Haz;2.May;2.Haz;3.Haz;2.May;37;Þub.85;Þub.61;Mar.73;Mar.54;Þub.64;Þub.52;32;1.Tem;Oca.66;Þub.25;Þub.16;20;0;2.May;Oca.93;Oca.96;Oca.89;2.Aðu;Mar.77;Þub.44
B1;8.12.2018;KV Oostende;Sporting Lokeren;1;0;H;0;0;D;5;8;5;2;17;12;1;4;1;2;0;0;1.Aðu;3.Aðu;4;Oca.85;4;4;1.Aðu;Mar.65;Mar.95;Oca.85;Mar.74;Nis.25;1.Aðu;3.Tem;4;Oca.83;3.Aðu;4;37;Oca.88;Oca.82;4;Mar.74;Nis.25;4.Haz;32;1.Tem;Oca.66;Þub.25;Þub.16;20;-0.75;Þub.14;2.Tem;Oca.81;Oca.77;Oca.77;3.Aðu;Nis.83
B1;8.12.2018;Sint-Truidense VV;Standard de Liège;1;1;D;1;0;H;15;14;8;6;15;15;3;13;3;1;0;0;2.Mar;3.Nis;3;Þub.45;3.May;Þub.85;2.Nis;3.Nis;2.Tem;Þub.48;Mar.58;Þub.82;2.Nis;3.Nis;2.Aðu;2.Nis;3.May;2.Aðu;37;2.May;Þub.43;3.Haz;Mar.45;3;Þub.76;35;1.Aðu;Oca.73;Þub.14;2.Tem;20;0;Oca.85;Oca.79;Þub.13;2.May;Þub.57;Mar.47;Þub.83
B1;9.12.2018;RSC Anderlecht;Sporting de Charleroi;1;1;D;0;0;D;12;7;6;4;19;11;6;3;4;2;0;0;Oca.83;Mar.75;4;1.Eyl;3.Eyl;3.Eyl;Oca.83;3.Haz;Mar.95;1.Eyl;Mar.66;Nis.16;Oca.85;3.Tem;3.Eyl;Oca.87;3.Tem;3.Eyl;36;Oca.93;Oca.87;3.Eyl;Mar.66;4.Þub;Mar.94;33;Oca.81;Oca.77;Þub.13;2.Þub;19;-0.75;Þub.23;Þub.13;1.Aðu;Oca.72;Oca.83;Mar.64;Nis.69
